ATTR_DATA_ID,OBJ_ID,VER_NBR,PERM_ID,KIM_TYP_ID,KIM_ATTR_DEFN_ID,ATTR_VAL
OLE_ACCNUM,HBZ_001,1,OLE10148,56,13,OLE_ACCNUM
OLE_ACCNUM2,HBZ_002,1,OLE10148,3,13,OLE_ACCNUM
